grupo,valor
V1804D,908.845
V1804D,97.67
V1804D,1020.278
V1804D,1421.218
E1794D,1231.527
E1794D,1236.629
E1794D,1241.727
E1794D,1416.232
Q1785H,0.5586
Q1785H,0.5864
Q1785H,0.6735
Q1785H,0.9135
R1753T,716.779
R1753T,956.949
R1753T,1093.445
R1753T,1199.137
E1794D,485.613
E1794D,52.28
E1794D,662.532
Q1785H,913.418
Q1785H,951.548
Q1785H,1041.427
R1753T,12.413
R1753T,12.758
R1753T,17.301
V1804D,567.613
V1804D,604.023
V1804D,631.234
E1794D,160.045
E1794D,1879.254
E1794D,1977.549
Q1785H,1864.966
Q1785H,2001.982
Q1785H,211.417
R1753T,18.572
R1753T,19.197
R1753T,21.132
V1804D,103.628
V1804D,108.98
V1804D,1121.677
E1794D,37.986
E1794D,43.659
E1794D,44.258
Q1785H,4.645
Q1785H,47.044
Q1785H,64.564
R1753T,0.5506
R1753T,0.5631
R1753T,0.5721
V1804D,37.347
V1804D,39.009
V1804D,42.026
