caso,H,n_aciertos
1,0.9303053271958759,6
2,0.9281244571886657,1
3,0.9702308195484178,6
4,0.988788706161613,4
1,0.9426080722720569,6
2,0.8288384057083573,2
3,0.9458405094131697,5
4,0.8927069986534847,1
1,0.9184625371891526,5
2,0.9644624047220534,1
3,0.9325211785554075,4
4,0.9505796961624622,2
1,0.9667446277887575,6
2,0.8897047009286998,4
3,0.907022858430933,5
4,0.943557249778743,4
1,0.9890451939834403,5
2,0.9355464381908044,4
3,0.992590414798356,5
4,0.8906971890962779,4
1,0.8729518544494754,5
2,0.9762470756886235,3
3,0.9927394297157048,5
4,0.9718521556294011,4
1,0.8426654205917083,5
2,0.8439876662029986,2
3,0.9401023529042521,6
4,0.9507000200728606,3
1,0.9582491389165817,6
2,0.8783006130746072,1
3,0.9434973498468391,6
4,0.951059290940959,5
1,0.9917080732751,5
2,0.9745411476764105,4
3,0.8729462601385557,6
4,0.8829534389641073,3
1,0.9244993825769626,5
2,0.9218147800614636,2
3,0.9480814463506677,5
4,0.9082817751688206,5
1,0.9636656325187687,6
2,0.8667075957977335,2
3,0.8859596928065367,6
4,0.9702714270394497,6
1,0.9044352518269074,6
2,0.8762748787398351,6
3,0.8129972069956917,3
4,0.9274366397648027,4
1,0.9899392134475182,6
2,0.9068608252960364,2
3,0.9736731262247935,6
4,0.9465423675608061,2
1,0.9340786341883323,6
2,0.8948128341237275,4
3,0.9690441859827693,6
4,0.9040003602263196,6
1,0.9264700540223119,5
2,0.9728227186703671,4
3,0.7989816903181878,4
4,0.9705298934937363,2
1,0.8817851065280854,4
2,0.9737196481414595,2
3,0.9269927133051249,6
4,0.9007578357913228,6
1,0.8768725961460697,6
2,0.8783142429781804,3
3,0.9329090844743841,6
4,0.9957080276495578,4
1,0.9147121828528004,5
2,0.9334975897603255,3
3,0.873740263628114,3
4,0.9905215462191126,4
1,0.9141280510696124,6
2,0.9414769509564807,5
3,0.9478568257913307,4
4,0.9147800486168542,2
1,0.8858790395428127,6
2,0.9150015717932786,4
3,0.9559409908770777,5
4,0.8965436597419711,2
1,0.9341443738371573,6
2,0.9087949388399912,6
3,0.9457259552850462,5
4,0.9936116685817357,3
1,0.9364051087222607,6
2,0.9574351619584307,3
3,0.9978485408541787,6
4,0.9124742957975382,5
1,0.9728796184596169,6
2,0.9438722544308168,1
