caso,H,n_aciertos
1,1.4722080466923597,13
2,1.7352390857948592,6
3,1.8779537416848093,8
4,1.5640736108342543,8
1,1.667656395907224,12
2,1.5526124900396936,9
3,1.8364678973934119,7
4,1.8681929241263273,10
1,1.6855667152678415,13
2,1.5060624043944,7
3,1.5305030461371618,5
4,1.665170127774718,6
1,1.7303871134571605,14
2,1.4934311448734892,9
3,1.5385972226348932,7
4,1.7153307084076024,8
1,1.5163357025526543,15
2,1.545710890671081,8
3,1.5580746549725133,5
4,1.4563008749126802,10
1,1.5564252118733644,14
2,1.5025149975221423,5
3,1.4713312142475874,8
4,1.6833010077855963,9
1,1.548351360445836,12
2,1.615911780988422,7
3,1.5467278260712094,8
4,1.6961955381527667,12
1,1.663019858844901,13
2,1.5161474323007338,5
3,1.5992796890684733,8
4,1.7800591089963869,7
1,1.6672802866666063,15
2,1.5864011411808483,7
3,1.6483572165298124,6
4,1.5738115866539584,11
1,1.6581517644598178,13
2,1.6860742297168985,8
3,1.4857163511940195,5
4,1.6072222960602804,8
1,1.8009251608510473,13
2,1.7945527062100541,8
3,1.4859343929706659,6
4,1.6412042946388092,12
1,1.4504624200618828,14
2,1.2981851616123858,7
3,1.5471064573408007,9
4,1.5899245010752134,10
1,1.8173299128890523,15
2,1.5401232088009968,6
3,1.5325598000147735,8
4,1.6082203447535892,6
1,1.794040675091216,14
2,1.4819750219639372,5
3,1.495188425342449,9
4,1.8036251879865723,7
1,1.6931789753984379,13
2,1.8113364063545854,7
3,1.4776473104846009,8
4,1.4720624918498149,9
1,1.6252423814157293,14
2,1.5310726335217788,8
3,1.68823605233459,6
4,1.5053441192047279,10
1,1.6787242729971903,11
2,1.4999780739332693,5
3,1.5630295512499037,4
4,1.8774063210553062,8
1,1.6774594545973522,12
2,1.5988630059151314,4
3,1.5987802614676085,6
4,1.7367061896708473,6
1,1.7159665341945982,13
2,1.693991710440441,6
3,1.832231706012467,5
4,1.7880807795712088,5
1,1.8299464711488633,12
2,1.4314618099016028,8
3,1.6519736145977162,8
4,1.6804778919513952,4
1,1.4499494401186712,13
2,1.8066032926212439,6
3,1.6456098387270348,7
4,1.6998666248155785,10
1,1.6695915613672883,14
2,1.740839817093549,6
3,1.4898904382039,6
4,1.5253201661968279,7
1,1.9056051999537151,14
2,1.5949226372005871,7
3,1.445430675414733,7
4,1.6470037590457125,12
1,1.4425799725552415,14
2,1.7077664296446442,8
3,1.4239227282078923,9
4,1.5654152991383892,7
1,1.440219463067812,15
2,1.7673239354599002,11
3,1.352265818382055,4
4,1.7904658380443839,10
1,1.5532717640296874,14
2,1.655572240193502,8
3,1.5235918670781368,6
4,1.75289738844813,10
1,1.5945223700499702,13
2,1.7813267737663958,7
3,1.7792624894598006,7
4,1.3962343575937424,8
1,1.5197882499469515,13
2,1.6085971919318263,5
3,1.659278294356147,6
4,1.7850539928832534,13
1,1.7329655168090434,11
2,1.4641546060723307,7
3,1.688215714135195,10
4,1.7206549243391323,10
1,1.761265656132657,14
2,1.4987549683316397,6
3,1.6494001705135517,6
4,1.7244531973709787,7
1,1.6773834476430534,15
2,1.595716712012533,8
3,1.783458551496547,7
4,1.692326569829137,13
1,1.5650877402252417,12
2,1.7011816402526085,8
3,1.478641894057638,7
4,1.6970483300055337,14
1,1.630283631677635,13
2,1.4720067567831716,8
3,1.7682365444889367,6
4,1.718749364287214,15
1,1.4912065141233364,14
2,1.6632179082738676,8
3,1.406572567201093,6
4,1.5996908180634786,9
1,1.6404505385989359,13
2,1.395159318823391,6
3,1.5982349422273905,7
4,1.6866653198631576,15
1,1.6895719899526835,15
2,1.5869923884086723,4
3,1.8805975792256548,7
4,1.82947000722666,6
1,1.5301584001442448,15
2,1.6799227380201007,10
3,1.7598152297013805,7
4,1.450814517683302,5
1,1.6267220007622554,13
2,1.7803823476350753,5
3,1.6472760730244471,5
4,1.5379926987816548,12
1,1.745650764413658,15
2,1.8832087280213718,7
3,1.8071323356816185,8
4,1.4783053798951915,9
1,1.6260055449999307,13
2,1.7468096932625528,11
3,1.5242732433242985,6
4,1.5223567495030015,10
1,1.660096960174912,13
2,1.6388991886089164,8
3,1.4034897383157512,7
4,1.7870014673572334,7
1,1.5491921881974084,13
2,1.7116523317457293,6
3,1.5387000986139634,7
4,1.7743095596268832,9
1,1.5585238304454427,14
2,1.4893248190651198,6
3,1.574505520494563,8
4,1.5077937271288517,6
1,1.8154643518109412,13
2,1.624420717532891,5
3,1.6400156959117007,7
4,1.6391035675646952,10
